== Слот 1/engn-7.1.0/ == 929E-001177
#1-0000000000-0x6a 2025-10-07 14:31:00 Время установлено
#2-1156337264-0x10 2025-10-07 14:31:01 Инициализация. Норма
#3-0001250926-0x66 2025-10-07 14:31:01 Ввод ключа проверки ЭП. Ручной
#4-1156337264-0x20 2025-10-07 14:31:18 Аутентификация. Норма
#5-1156286315-0x30 2025-10-07 14:31:38 Ввод КБ1. Норма
#6-1156338108-0x40 2025-10-07 14:31:49 Ввод КБ2. Норма
#7-0251007001-0x61 2025-10-07 14:31:49 Ввод ключей текущей серии
#8-1156337264-0x20 2025-10-13 06:22:07 Аутентификация. Норма
#9-0251007001-0x70 2025-10-13 06:22:18 Деинициализация
#10-0000000000-0x6a 2025-10-13 06:37:00 Время установлено
#11-1156337307-0x10 2025-10-13 06:37:01 Инициализация. Норма
#12-0001250926-0x66 2025-10-13 06:37:01 Ввод ключа проверки ЭП. Ручной
#13-1156337307-0x20 2025-10-13 06:37:54 Аутентификация. Норма
#14-1156286510-0x30 2025-10-13 06:38:21 Ввод КБ1. Норма
#15-1156338658-0x40 2025-10-13 06:39:17 Ввод КБ2. Норма
#16-0251013001-0x61 2025-10-13 06:39:17 Ввод ключей текущей серии
#17-1156337307-0x20 2025-10-13 06:39:39 Аутентификация. Норма
#18-0251013001-0x70 2025-10-13 06:39:44 Деинициализация
#19-0000000000-0x6a 2025-10-13 06:58:08 Время установлено
#20-1156337307-0x10 2025-10-13 06:58:08 Инициализация. Норма
#21-0001250926-0x67 2025-10-13 06:58:08 Ввод ключа проверки ЭП. Автомат
#22-1156337307-0x20 2025-10-13 07:01:29 Аутентификация. Норма
#23-1156286487-0x30 2025-10-13 07:01:54 Ввод КБ1. Норма
#24-1156338088-0x40 2025-10-13 07:02:15 Ввод КБ2. Норма
#25-0251013003-0x61 2025-10-13 07:02:15 Ввод ключей текущей серии
#26-0251013003-0x54 2025-10-13 07:06:23 Стирание ключей – отключение питания
#27-1156337307-0x20 2025-10-13 07:21:28 Аутентификация. Норма
#28-0000000000-0x70 2025-10-13 07:21:39 Деинициализация
#29-0000000000-0x6a 2025-10-13 07:29:00 Время установлено
#30-1156337286-0x10 2025-10-13 07:29:01 Инициализация. Норма
#31-0001250926-0x66 2025-10-13 07:29:01 Ввод ключа проверки ЭП. Ручной
#32-1156337286-0x20 2025-10-13 07:30:09 Аутентификация. Норма
#33-1156286315-0x30 2025-10-13 07:30:33 Ввод КБ1. Норма
#34-1156338108-0x40 2025-10-13 07:30:52 Ввод КБ2. Норма
#35-0251013005-0x61 2025-10-13 07:30:52 Ввод ключей текущей серии
#36-1156337286-0x20 2025-10-17 08:00:26 Аутентификация. Норма
#37-0251013005-0x70 2025-10-17 08:00:30 Деинициализация
#38-0000000000-0x6a 2025-10-17 08:42:00 Время установлено
#39-1156337286-0x10 2025-10-17 08:42:00 Инициализация. Норма
