== Слот 4/engn-7.1.0/ == undefined
#1-0000000000-0x53 2025-07-01 00:00:39 Аварийное стирание ключей – вскрытие прибора
#2-0000000000-0x53 2025-07-01 00:03:01 Аварийное стирание ключей – вскрытие прибора
#3-0000000000-0x53 2025-07-01 00:04:46 Аварийное стирание ключей – вскрытие прибора
#4-0000000000-0x6a 2025-10-30 07:22:00 Время установлено
#5-1156342858-0x10 2025-10-30 07:22:01 Инициализация. Норма
#6-0001250926-0x66 2025-10-30 07:22:01 Ввод ключа проверки ЭП. Ручной
#7-0000000000-0x53 2025-10-30 07:22:16 Аварийное стирание ключей – вскрытие прибора
#8-1156342858-0x20 2025-10-30 07:37:13 Аутентификация. Норма
#9-1156286487-0x30 2025-10-30 07:37:30 Ввод КБ1. Норма
#10-1156338088-0x40 2025-10-30 07:37:42 Ввод КБ2. Норма
#11-0251030001-0x61 2025-10-30 07:37:42 Ввод ключей текущей серии
#12-0251030001-0x50 2025-11-13 08:25:04 Аварийное стирание ключей
#13-1156342858-0x20 2025-11-13 11:37:16 Аутентификация. Норма
#14-1156286487-0x30 2025-11-13 11:37:27 Ввод КБ1. Норма
#15-1156338088-0x40 2025-11-13 11:37:39 Ввод КБ2. Норма
#16-0251030001-0x61 2025-11-13 11:37:39 Ввод ключей текущей серии
#17-0251030001-0x53 2025-11-13 11:54:30 Аварийное стирание ключей – вскрытие прибора
#18-0000000000-0x53 2025-07-01 00:00:44 Аварийное стирание ключей – вскрытие прибора
#19-0000000000-0x53 2025-07-01 00:04:48 Аварийное стирание ключей – вскрытие прибора
#20-0000000000-0x6a 2025-11-13 12:03:00 Время установлено
#21-1156337307-0x10 2025-11-13 12:03:01 Инициализация. Норма
#22-0001250926-0x66 2025-11-13 12:03:01 Ввод ключа проверки ЭП. Ручной
#23-0000000000-0x53 2025-11-13 12:03:16 Аварийное стирание ключей – вскрытие прибора
#24-1156337307-0x20 2025-11-13 12:04:38 Аутентификация. Норма
#25-1156286487-0x30 2025-11-13 12:04:46 Ввод КБ1. Норма
#26-1156338088-0x40 2025-11-13 12:04:57 Ввод КБ2. Норма
#27-0251113002-0x61 2025-11-13 12:04:57 Ввод ключей текущей серии
#28-0251113002-0x53 2025-11-13 12:48:56 Аварийное стирание ключей – вскрытие прибора
#29-1156337307-0x20 2025-11-13 12:52:06 Аутентификация. Норма
#30-1156286487-0x30 2025-11-13 12:52:14 Ввод КБ1. Норма
#31-1156338088-0x40 2025-11-13 12:52:27 Ввод КБ2. Норма
#32-0251113002-0x61 2025-11-13 12:52:27 Ввод ключей текущей серии
#33-0251113002-0x53 2025-12-11 12:42:31 Аварийное стирание ключей – вскрытие прибора
#34-0000000000-0x53 2025-12-19 10:34:58 Аварийное стирание ключей – вскрытие прибора
#35-0000000000-0x53 2025-12-29 07:03:55 Аварийное стирание ключей – вскрытие прибора
#36-0000000000-0x6a 2025-12-29 07:06:00 Время установлено
#37-1156342858-0x10 2025-12-29 07:06:01 Инициализация. Норма
#38-0001250926-0x66 2025-12-29 07:06:01 Ввод ключа проверки ЭП. Ручной
#39-1156342858-0x20 2025-12-29 07:06:25 Аутентификация. Норма
#40-1156286510-0x30 2025-12-29 07:06:34 Ввод КБ1. Норма
#41-1156338108-0x40 2025-12-29 07:06:43 Ввод КБ2. Норма
#42-0251229001-0x61 2025-12-29 07:06:43 Ввод ключей текущей серии
#43-0000000000-0x53 2025-07-01 00:30:32 Аварийное стирание ключей – вскрытие прибора
#44-0000000000-0x6a 2026-01-12 15:16:00 Время установлено
#45-1156337286-0x10 2026-01-12 15:16:00 Инициализация. Норма
#46-0001250926-0x66 2026-01-12 15:16:00 Ввод ключа проверки ЭП. Ручной
#47-1156337286-0x20 2026-01-12 15:16:26 Аутентификация. Норма
#48-1156286487-0x30 2026-01-12 15:16:36 Ввод КБ1. Норма
#49-1156338039-0x40 2026-01-12 15:16:49 Ввод КБ2. Норма
#50-0260112001-0x61 2026-01-12 15:16:49 Ввод ключей текущей серии
