== Слот 3/engn-7.1.0/ == 929Ж-001042
#1-0000000000-0x6a 2025-11-06 06:47:00 Время установлено
#2-1147952880-0x10 2025-11-06 06:47:00 Инициализация. Норма
#3-0001250926-0x66 2025-11-06 06:47:00 Ввод ключа проверки ЭП. Ручной
#4-1147952880-0x20 2025-11-06 06:47:18 Аутентификация. Норма
#5-1156286315-0x30 2025-11-06 06:47:27 Ввод КБ1. Норма
#6-1156338039-0x40 2025-11-06 06:47:39 Ввод КБ2. Норма
#7-0251105001-0x61 2025-11-06 06:47:39 Ввод ключей текущей серии
#8-1147952880-0x20 2025-11-07 05:55:44 Аутентификация. Норма
#9-0251105001-0x70 2025-11-07 05:56:08 Деинициализация
#10-0000000000-0x53 2025-11-07 05:58:30 Аварийное стирание ключей – вскрытие прибора
#11-0000000000-0x53 2025-11-07 06:10:00 Аварийное стирание ключей – вскрытие прибора
#12-0000000000-0x6a 2025-11-07 06:16:00 Время установлено
#13-1156337286-0x10 2025-11-07 06:16:00 Инициализация. Норма
#14-0001250926-0x66 2025-11-07 06:16:00 Ввод ключа проверки ЭП. Ручной
#15-1156337286-0x20 2025-11-07 06:16:15 Аутентификация. Норма
#16-1156286466-0x30 2025-11-07 06:16:30 Ввод КБ1. Норма
#17-1156338108-0x40 2025-11-07 06:16:45 Ввод КБ2. Норма
#18-0251107001-0x61 2025-11-07 06:16:45 Ввод ключей текущей серии
#19-1156337286-0x20 2025-11-07 11:17:01 Аутентификация. Норма
#20-0251107001-0x70 2025-11-07 11:17:05 Деинициализация
#21-0000000000-0x6a 2025-11-07 11:37:00 Время установлено
#22-1156337264-0x10 2025-11-07 11:37:01 Инициализация. Норма
#23-0001250926-0x66 2025-11-07 11:37:01 Ввод ключа проверки ЭП. Ручной
#24-1156337264-0x20 2025-11-07 11:37:32 Аутентификация. Норма
#25-1156286466-0x30 2025-11-07 11:37:47 Ввод КБ1. Норма
#26-1156338108-0x40 2025-11-07 11:38:01 Ввод КБ2. Норма
#27-0251107003-0x61 2025-11-07 11:38:01 Ввод ключей текущей серии
#28-1156337264-0x20 2025-11-10 08:32:49 Аутентификация. Норма
#29-0251107003-0x70 2025-11-10 08:32:54 Деинициализация
#30-0000000000-0x6a 2025-11-10 08:57:00 Время установлено
#31-1156337286-0x10 2025-11-10 08:57:00 Инициализация. Норма
#32-0001250926-0x66 2025-11-10 08:57:00 Ввод ключа проверки ЭП. Ручной
#33-1156337286-0x20 2025-11-10 08:57:52 Аутентификация. Норма
#34-0985355658-0x30 2025-11-10 08:58:41 Ввод КБ1. Норма
#35-1148808973-0x40 2025-11-10 08:59:01 Ввод КБ2. Норма
#36-0251110001-0x61 2025-11-10 08:59:01 Ввод ключей текущей серии
#37-0251110001-0x53 2025-11-12 10:41:29 Аварийное стирание ключей – вскрытие прибора
#38-0000000000-0x53 2025-07-01 00:10:50 Аварийное стирание ключей – вскрытие прибора
#39-0000000000-0x53 2025-07-03 18:52:40 Аварийное стирание ключей – вскрытие прибора
#40-0000000000-0x6a 2025-11-24 10:23:00 Время установлено
#41-1083400038-0x10 2025-11-24 10:23:01 Инициализация. Норма
#42-0001250926-0x66 2025-11-24 10:23:01 Ввод ключа проверки ЭП. Ручной
#43-1083400038-0x20 2025-11-24 10:23:16 Аутентификация. Норма
#44-0985355658-0x30 2025-11-24 10:23:28 Ввод КБ1. Норма
#45-1148808973-0x40 2025-11-24 10:23:40 Ввод КБ2. Норма
#46-0251124002-0x61 2025-11-24 10:23:40 Ввод ключей текущей серии
#47-1083400038-0x20 2025-11-24 10:44:57 Аутентификация. Норма
#48-0251124002-0x70 2025-11-24 10:45:03 Деинициализация
#49-0000000000-0x53 2025-11-24 12:19:17 Аварийное стирание ключей – вскрытие прибора
#50-0000000000-0x6a 2025-12-29 07:06:00 Время установлено
#51-1156337286-0x10 2025-12-29 07:06:00 Инициализация. Норма
#52-0001250926-0x66 2025-12-29 07:06:00 Ввод ключа проверки ЭП. Ручной
#53-1156337286-0x20 2025-12-29 07:06:18 Аутентификация. Норма
#54-1156286487-0x30 2025-12-29 07:06:55 Ввод КБ1. Норма
#55-1156338039-0x40 2025-12-29 07:07:07 Ввод КБ2. Норма
#56-0251229001-0x61 2025-12-29 07:07:07 Ввод ключей текущей серии
#57-0000000000-0x53 2025-07-01 00:00:11 Аварийное стирание ключей – вскрытие прибора
#58-0000000000-0x6a 2026-01-12 15:13:00 Время установлено
#59-1156342858-0x10 2026-01-12 15:13:01 Инициализация. Норма
#60-0001250926-0x66 2026-01-12 15:13:01 Ввод ключа проверки ЭП. Ручной
#61-1156342858-0x20 2026-01-12 15:13:25 Аутентификация. Норма
#62-1156286510-0x30 2026-01-12 15:13:40 Ввод КБ1. Норма
#63-1156338108-0x40 2026-01-12 15:13:53 Ввод КБ2. Норма
#64-0260112001-0x61 2026-01-12 15:13:53 Ввод ключей текущей серии
